ID,Pressure,Sack,SnapToThrowTime,Down,ToGo,TotalToGo,Formation,EPA,PasserStrength,BlockerStrength,DefenderStrength
224,0,0,3.433,1,10,66,3-4,0.409019,0.03732296859373035,0.03587929273877438,0.01792069930531202
225,1,0,1.733,2,3,59,3-4,-0.758883,0.03732296859373035,0.03587929273877438,0.01792069930531202
226,0,0,2.667,3,3,59,3-4,1.856197,0.03732296859373035,0.03587929273877438,0.02430800221792454
228,0,0,3.067,2,20,48,3-4,1.734367,0.03732296859373035,0.03587929273877438,0.006033343090188551
229,0,0,3.133,1,5,23,3-4,0.331439,0.03732296859373035,0.03587929273877438,0.006033343090188551
239,0,0,2.6,2,20,50,3-4,1.032158,0.03732296859373035,0.03587929273877438,0.011021197723115467
241,0,0,2.733,1,10,75,0-0,-0.654398,0.0190038838273121,0.03571259919820818,0.02793066002241173
242,1,0,2.867,2,10,75,0-0,-0.682677,0.0190038838273121,0.03571259919820818,0.02793066002241173
245,0,0,1.567,2,10,78,4-3,-1.116167,0.009871877969661443,0.03125490275039802,0.029824053387295525
248,0,0,2.067,1,10,54,4-3,-0.278436,0.030967027012518366,0.03102991923930809,0.02581487455002314
251,0,0,2.1,1,10,43,3-4,0.099016,0.030967027012518366,0.03102991923930809,0.014723566956335707
253,0,0,2.5,3,3,36,3-4,-0.986286,0.030967027012518366,0.03102991923930809,0.02581487455002314
254,0,0,1.933,4,3,36,3-4,-3.360388,0.030967027012518366,0.03102991923930809,0.027341087475660844
259,0,0,3.467,2,20,75,3-4,0.712603,0.030967027012518366,0.03102991923930809,0.023591328389584304
264,1,0,6.433,2,8,41,4-3,-0.865779,0.030967027012518366,0.03102991923930809,0.023287072343635282
265,0,0,3.034,3,8,41,3-4,-1.276248,0.030967027012518366,0.03102991923930809,0.03426834836264257
269,0,0,2.967,2,7,77,4-3,-0.682291,0.009871877969661443,0.03125490275039802,0.029824053387295525
271,0,0,1.833,2,8,54,3-4,-0.772024,0.030967027012518366,0.03102991923930809,0.011257569646023705
281,1,1,6.433,1,10,75,4-3,-1.010244,0.009871877969661443,0.03125490275039802,0.015003423658241245
284,1,1,3.5,1,10,78,3-4,-0.915392,0.030967027012518366,0.03102991923930809,0.012247762982003486
286,1,0,3.2,3,9,77,3-4,2.024375,0.030967027012518366,0.03102991923930809,0.033296429371205166
288,0,0,4.533,2,2,54,3-4,-0.550113,0.030967027012518366,0.03102991923930809,0.023286904001167695
292,1,0,5.066,1,10,75,4-3,-0.654398,0.009871877969661443,0.03125490275039802,0.028089727858290534
293,0,0,1.7,2,10,75,3-4,0.219162,0.009871877969661443,0.03125490275039802,0.028089727858290534
294,1,0,2.833,3,3,68,4-3,1.737345,0.009871877969661443,0.03125490275039802,0.029824053387295525
295,0,0,2.033,1,10,52,4-3,3.232964,0.009871877969661443,0.03125490275039802,0.020455542519840712
298,0,0,4,1,10,60,3-4,-0.502392,0.030967027012518366,0.03102991923930809,0.027534319498257288
305,1,0,3.7,1,10,75,4-3,-0.654398,0.009871877969661443,0.03125490275039802,0.03269054333481944
309,0,0,2.567,3,7,71,3-4,1.683058,0.030967027012518366,0.03102991923930809,0.033296429371205166
312,0,0,3.9,3,2,53,3-4,-1.04218,0.030967027012518366,0.03102991923930809,0.01876989422088598
321,1,1,2.333,2,6,68,4-3,-1.573961,0.009871877969661443,0.03125490275039802,0.029824053387295525
322,1,1,3,3,12,74,0-0,-1.097853,0.009871877969661443,0.03125490275039802,0.03592411588591207
324,0,0,1.7,2,9,66,3-4,-0.868978,0.030967027012518366,0.03102991923930809,0.017328253669206158
325,0,0,2.534,3,9,66,0-0,-0.414422,0.030967027012518366,0.03102991923930809,0.02581466412193865
330,0,0,2.967,1,10,36,4-3,-0.523144,0.009871877969661443,0.03125490275039802,0.028089727858290534
339,1,0,5.5,3,4,69,3-4,2.003729,0.030967027012518366,0.03102991923930809,0.03157446339388464
346,0,0,3.833,1,10,75,4-3,4.982206,0.009871877969661443,0.03125490275039802,0.029824053387295525
349,0,0,3.1,3,4,69,4-3,1.187184,0.030967027012518366,0.03102991923930809,0.0222136664589463
352,0,0,2,2,11,58,3-4,-0.609871,0.030967027012518366,0.03102991923930809,0.02581466412193865
353,0,0,3.4,3,9,56,3-4,-1.4298,0.030967027012518366,0.03102991923930809,0.018118988131882976
359,1,0,3.233,1,10,60,3-4,-0.794363,0.030967027012518366,0.03102991923930809,0.021213045596150212
360,1,0,3.134,2,12,62,3-4,1.485008,0.030967027012518366,0.03102991923930809,0.021213045596150212
362,0,0,2.367,2,10,49,4-3,0.804673,0.030967027012518366,0.03102991923930809,0.028584983852667577
364,0,0,2.162,1,10,75,0-0,-0.517927,0.009871877969661443,0.03125490275039802,0.042059054202274244
365,1,0,2.867,1,10,77,4-3,-0.678626,0.007066130927046504,0.02812897607704108,0.028389938164667238
371,0,0,3.433,1,10,47,4-3,1.675784,0.033768230363296674,0.027560184935519268,0.00943040092199674
378,1,0,3.267,3,7,65,3-4,-3.117626,0.007066130927046504,0.02812897607704108,0.03637103243488072
382,1,1,2.833,3,7,29,4-3,-2.30817,0.033768230363296674,0.027560184935519268,0.008737409956587115
386,1,1,3.267,3,8,68,4-3,-1.6174,0.007066130927046504,0.02812897607704108,0.03637103243488072
389,1,0,3.167,3,3,57,4-3,-1.516363,0.033768230363296674,0.027560184935519268,0.012184825543254764
394,0,0,3.833,2,4,46,4-3,1.245236,0.033768230363296674,0.027560184935519268,0.00943040092199674
401,0,0,2.167,2,12,77,4-3,-0.648944,0.007066130927046504,0.02812897607704108,0.020597624265353134
407,0,0,1.333,2,9,65,4-3,-0.887907,0.033768230363296674,0.027560184935519268,0.0170966576877154
408,0,0,2.6,3,9,65,4-3,-0.523551,0.033768230363296674,0.027560184935519268,0.00943040092199674
412,0,0,1.4,2,4,59,4-3,-0.834133,0.007066130927046504,0.02812897607704108,0.032280261577681615
418,0,0,2.9,3,6,29,4-3,-1.211344,0.007066130927046504,0.02812897607704108,0.036974884936752155
420,1,0,5,1,10,64,4-3,-0.752128,0.033768230363296674,0.027560184935519268,0.00943040092199674
421,0,0,3.267,2,12,66,4-3,0.470515,0.033768230363296674,0.027560184935519268,0.00943040092199674
422,0,0,1.533,3,3,57,0-0,-4.221655,0.033768230363296674,0.027560184935519268,0.00659962535186381
424,1,0,3.167,1,10,64,4-3,-0.529164,0.033768230363296674,0.027560184935519268,0.014901345768958149
426,0,0,2.7,3,6,60,4-3,3.473962,0.033768230363296674,0.027560184935519268,0.01554419640567685
434,1,0,3.7,2,7,69,4-3,-0.431173,0.007066130927046504,0.02812897607704108,0.02464391722594758
435,0,0,3.533,1,10,51,4-3,-0.513576,0.007066130927046504,0.02812897607704108,0.028389938164667238
440,0,0,2.967,3,5,75,4-3,1.423591,0.033768230363296674,0.027560184935519268,0.00943040092199674
448,0,0,2.467,1,10,26,4-3,-0.367326,0.007066130927046504,0.02812897607704108,0.029456383358369746
453,0,0,3.333,3,10,75,4-3,1.892342,0.033768230363296674,0.027560184935519268,0.007337815102465939
456,0,0,2.533,3,5,59,3-4,-5.324414,0.033768230363296674,0.027560184935519268,0.01149183457784514
465,0,0,1.4,2,10,78,4-3,0.449652,0.033768230363296674,0.027560184935519268,0.00943040092199674
467,0,0,2.733,1,15,72,4-3,1.08342,0.033768230363296674,0.027560184935519268,0.015446352429645753
469,1,0,2.367,1,10,56,4-3,-0.446886,0.033768230363296674,0.027560184935519268,0.008737409956587115
470,0,0,2.333,2,10,56,4-3,-0.557478,0.033768230363296674,0.027560184935519268,0.008737409956587115
471,1,0,2.833,3,8,54,4-3,-1.508365,0.033768230363296674,0.027560184935519268,0.0053780390941650285
472,0,0,3.7,4,8,54,4-3,-2.299217,0.033768230363296674,0.027560184935519268,0.008737409956587115
479,0,0,5.533,4,9,79,4-3,-3.14133,0.033768230363296674,0.027560184935519268,0.010829995776117915
484,0,0,3,2,7,72,3-4,-0.045288,0.023141448544722432,0.03333927044927741,0.042031639504945484
485,1,0,2.533,3,2,67,3-4,-1.188964,0.023141448544722432,0.03333927044927741,0.04453524750759884
486,1,1,2.567,1,10,78,3-4,-0.952143,0.03796216075595333,0.030315339843189577,0.03442905803377729
490,0,0,2.3,1,10,64,4-3,-0.149181,0.03796216075595333,0.030315339843189577,0.031193342967685042
492,0,0,3.333,3,7,61,0-0,1.596957,0.03796216075595333,0.030315339843189577,0.025710833900140083
493,0,0,2.133,1,10,52,3-4,1.052291,0.03796216075595333,0.030315339843189577,0.01315904147823974
495,0,0,1.867,2,10,34,3-4,-0.5713,0.03796216075595333,0.030315339843189577,0.0178316918583964
496,1,1,4.7,3,10,34,0-0,-2.653237,0.03796216075595333,0.030315339843189577,0.031321704212613724
499,0,0,2.4,3,5,70,0-0,-1.272452,0.023141448544722432,0.03333927044927741,0.042031639504945484
502,1,1,2.733,1,10,57,3-4,-5.342337,0.03796216075595333,0.030315339843189577,0.031321704212613724
509,0,0,2.733,2,9,62,3-4,0.350542,0.03796216075595333,0.030315339843189577,0.004311682833443948
510,0,0,2.267,3,2,55,3-4,0.994864,0.03796216075595333,0.030315339843189577,0.004311682833443948
512,1,1,3.467,2,5,40,3-4,-0.764025,0.03796216075595333,0.030315339843189577,0.031193342967685042
515,0,0,2.233,2,14,39,3-4,-4.28464,0.03796216075595333,0.030315339843189577,0.02956133604008861
524,1,0,5.5,2,8,73,4-3,1.083364,0.03796216075595333,0.030315339843189577,0.02935210292313689
527,0,0,5.167,3,4,58,0-0,1.528901,0.03796216075595333,0.030315339843189577,0.023869593855591932
531,0,0,2.467,1,10,65,3-4,1.060731,0.03796216075595333,0.030315339843189577,0.0219336351117707
534,0,0,2.633,3,6,40,0-0,-0.628062,0.03796216075595333,0.030315339843189577,0.031193342967685042
549,0,0,2.4,1,10,46,3-4,0.62833,0.03796216075595333,0.030315339843189577,0.02790125840169904
552,0,0,2.667,3,5,30,0-0,1.24749,0.03796216075595333,0.030315339843189577,0.034557419278705974
553,1,1,2.433,1,10,24,3-4,-0.670679,0.03796216075595333,0.030315339843189577,0.015972238232815024
554,0,0,3.4,2,14,28,3-4,1.789548,0.03796216075595333,0.030315339843189577,0.015972238232815024
558,1,1,7.333,1,10,75,3-4,-0.867195,0.023141448544722432,0.03333927044927741,0.018204243907495792
559,0,0,2.433,2,12,77,4-3,0.173033,0.023141448544722432,0.03333927044927741,0.027410715704787834
563,0,0,2.833,3,16,70,0-0,-0.330847,0.023141448544722432,0.03333927044927741,0.031389829687286236
568,0,0,2.333,2,8,43,3-4,0.174509,0.023141448544722432,0.03333927044927741,0.00965418928827993
569,0,0,2.367,3,2,37,4-3,0.845182,0.023141448544722432,0.03333927044927741,0.042031639504945484
570,0,0,2.333,1,10,30,3-4,-0.44468,0.023141448544722432,0.03333927044927741,0.030253963125768696
573,0,0,2.933,1,10,75,4-3,0.587494,0.03796216075595333,0.030315339843189577,0.02290517516308168
574,0,0,2.333,2,3,68,3-4,0.119601,0.03796216075595333,0.030315339843189577,0.02290517516308168
578,1,0,2.5,3,6,36,0-0,-1.223585,0.03796216075595333,0.030315339843189577,0.031321704212613724
579,0,0,2.533,4,6,36,0-0,-2.017929,0.03796216075595333,0.030315339843189577,0.02583919514506876
582,0,0,2.3,2,7,63,3-4,-0.334708,0.023141448544722432,0.03333927044927741,0.027410715704787834
583,0,0,2.333,3,4,60,0-0,-1.445138,0.023141448544722432,0.03333927044927741,0.03595222092244558
584,1,0,2.8,1,10,70,3-4,0.953412,0.03796216075595333,0.030315339843189577,0.025710833900140083
586,0,0,2,1,10,29,3-4,-0.399584,0.03796216075595333,0.030315339843189577,0.02790125840169904
588,1,0,2.533,1,10,24,3-4,-0.370829,0.03796216075595333,0.030315339843189577,0.00760376739942995
589,0,0,1.933,2,10,24,3-4,0.99605,0.03796216075595333,0.030315339843189577,0.00760376739942995
598,0,0,3,1,10,60,0-0,0.778724,0.03796216075595333,0.030315339843189577,0.02290517516308168
599,0,0,2.667,2,1,51,0-0,0.239699,0.03796216075595333,0.030315339843189577,0.02290517516308168
600,0,0,2.267,1,10,40,0-0,-0.55177,0.03796216075595333,0.030315339843189577,0.02290517516308168
601,1,0,3.033,2,10,40,0-0,0.429845,0.03796216075595333,0.030315339843189577,0.02035353439757611
602,0,0,2.1,3,1,31,0-0,1.682445,0.03796216075595333,0.030315339843189577,0.02035353439757611
608,0,0,2.533,2,8,73,4-3,-0.055715,0.023141448544722432,0.03333927044927741,0.042031639504945484
609,0,0,2.5,3,3,68,3-4,-1.365928,0.023141448544722432,0.03333927044927741,0.01249743670926079
611,0,0,2.6,2,11,64,3-4,1.393875,0.03796216075595333,0.030315339843189577,0.013645467307167336
612,0,0,4.133,1,10,50,3-4,0.475888,0.03796216075595333,0.030315339843189577,0.013645467307167336
614,0,0,2.4,2,3,33,3-4,-0.716959,0.03796216075595333,0.030315339843189577,0.012599850638047312
615,0,0,4.133,3,3,33,0-0,1.926112,0.03796216075595333,0.030315339843189577,0.021447209282843105
620,1,0,2.333,1,10,43,4-3,-0.468245,0.023141448544722432,0.03333927044927741,0.042031639504945484
622,0,0,2.267,3,4,37,3-4,-1.040778,0.023141448544722432,0.03333927044927741,0.040993453282760176
625,0,0,2.867,1,10,44,0-0,0.188502,0.03796216075595333,0.030315339843189577,0.022953233379228645
626,1,0,2.967,2,4,38,0-0,-0.671037,0.03796216075595333,0.030315339843189577,0.01550442021347254
627,1,1,2.167,3,4,38,0-0,-2.547576,0.03796216075595333,0.030315339843189577,0.01550442021347254
630,0,0,1.4,1,10,45,4-3,-0.476628,0.023141448544722432,0.03333927044927741,0.03400686342506538
631,1,0,1.9,2,10,45,4-3,0.920092,0.023141448544722432,0.03333927044927741,0.03400686342506538
633,0,0,1.567,2,10,35,3-4,-0.655799,0.023141448544722432,0.03333927044927741,0.03901232060788019
634,0,0,2.233,1,10,75,3-4,-0.78828,0.04642580956145555,0.03127173581383279,0.02479652921305381
645,1,0,2.233,1,10,56,4-3,-0.446886,0.046262635908784364,0.03505915318377486,0.015779687032837462
646,0,0,1.5,2,10,56,4-3,-1.035032,0.046262635908784364,0.03505915318377486,0.02093587348875652
649,1,0,4.667,2,5,40,3-4,-0.781481,0.046262635908784364,0.03505915318377486,0.007998020247482012
651,0,0,2.333,4,5,40,4-3,-2.857039,0.046262635908784364,0.03505915318377486,0.02063443566444624
652,0,0,1.833,1,10,59,3-4,-0.861914,0.04642580956145555,0.03127173581383279,0.0480030516755318
654,1,0,2.433,3,6,55,3-4,-1.767922,0.04642580956145555,0.03127173581383279,0.0480030516755318
656,0,0,2.167,2,5,77,4-3,1.232796,0.046262635908784364,0.03505915318377486,0.01795880953454125
658,0,0,4.234,2,17,66,4-3,0.304278,0.046262635908784364,0.03505915318377486,0.022037966893913477
660,0,0,2.667,1,10,45,4-3,0.935666,0.046262635908784364,0.03505915318377486,0.01737864260552764
662,0,0,2.4,2,8,25,4-3,-0.120541,0.046262635908784364,0.03505915318377486,0.01737864260552764
663,0,0,2.009,3,4,21,4-3,1.482107,0.046262635908784364,0.03505915318377486,0.02063443566444624
670,0,0,1.934,3,7,72,4-3,-1.28186,0.04642580956145555,0.03127173581383279,0.051786762564134815
671,0,0,2.534,1,10,71,4-3,0.58015,0.046262635908784364,0.03505915318377486,0.01389393541878812
673,0,0,3.034,2,1,51,4-3,-0.30034,0.046262635908784364,0.03505915318377486,0.014582614088455154
674,1,0,5.267,3,6,56,4-3,-1.56787,0.046262635908784364,0.03505915318377486,0.01131429895550838
675,0,0,1.867,1,10,78,3-4,-0.681171,0.04642580956145555,0.03127173581383279,0.028161917580759643
676,0,0,2.4,2,10,78,3-4,-0.616755,0.04642580956145555,0.03127173581383279,0.0480030516755318
677,0,0,3.134,3,10,78,3-4,-1.006422,0.04642580956145555,0.03127173581383279,0.051786762564134815
689,0,0,1.933,2,9,74,4-3,-0.219162,0.04642580956145555,0.03127173581383279,0.03731968486387109
690,0,0,2.467,3,5,70,3-4,2.543363,0.04642580956145555,0.03127173581383279,0.051786762564134815
691,1,0,2.333,1,10,42,3-4,-0.54281,0.04642580956145555,0.03127173581383279,0.0480030516755318
693,0,0,2.867,1,10,29,3-4,0.831993,0.04642580956145555,0.03127173581383279,0.03199516096634088
699,0,0,2.267,2,4,72,4-3,0.488122,0.046262635908784364,0.03505915318377486,0.02380616198977474
700,1,1,2.067,1,10,64,4-3,-0.931599,0.046262635908784364,0.03505915318377486,0.01131429895550838
702,0,0,2.8,3,4,58,4-3,3.818055,0.046262635908784364,0.03505915318377486,0.02380616198977474
709,0,0,2.3,3,6,78,4-3,1.621313,0.046262635908784364,0.03505915318377486,0.02063443566444624
720,1,0,3,2,8,57,4-3,-0.83412,0.04642580956145555,0.03127173581383279,0.034215169667020096
722,1,0,3.667,1,10,39,3-4,-0.553037,0.04642580956145555,0.03127173581383279,0.02192255379146659
723,0,0,2.133,2,10,39,3-4,1.62885,0.04642580956145555,0.03127173581383279,0.038349070621183826
724,0,0,2.134,1,10,23,3-4,-0.377002,0.04642580956145555,0.03127173581383279,0.02293338269953391
732,0,0,2.334,1,10,23,4-3,1.634102,0.046262635908784364,0.03505915318377486,0.02093587348875652
735,0,0,3.167,2,6,71,3-4,1.869408,0.04642580956145555,0.03127173581383279,0.03731968486387109
737,0,0,2.5,2,10,37,3-4,1.290451,0.04642580956145555,0.03127173581383279,0.02462305243282585
738,0,0,2.534,1,10,26,3-4,1.609261,0.04642580956145555,0.03127173581383279,0.0480030516755318
742,1,0,5.733,2,12,65,4-3,-1.022815,0.046262635908784364,0.03505915318377486,0.01890485690926722
743,1,0,1.733,3,12,65,4-3,-0.58943,0.046262635908784364,0.03505915318377486,0.019873459851185785
745,0,0,2.5,1,10,62,3-4,0.443111,0.04642580956145555,0.03127173581383279,0.019921249347263525
746,0,0,3.633,2,3,55,3-4,-0.728535,0.04642580956145555,0.03127173581383279,0.0480030516755318
747,1,1,2.933,3,3,55,4-3,-2.384675,0.04642580956145555,0.03127173581383279,0.03322154459415242
753,1,0,2.733,3,4,66,3-4,1.652992,0.04642580956145555,0.03127173581383279,0.03731968486387109
755,0,0,2.234,2,10,53,3-4,-0.156994,0.04642580956145555,0.03127173581383279,0.04277451679430607
