PlayerId,PlayerId_GSIS,Player,RosterPosition,Team,TotalSnaps,TotalPoints,PasserSnaps,PasserPoints,RusherSnaps,RusherPoints,ReceiverSnaps,ReceiverPoints,RunBlockSnaps,RunBlockPoints,PassBlockSnaps,PassBlockPoints,PassRushSnaps,PassRushPoints,PassCovSnaps,PassCovPoints,RunDefSnaps,RunDefPoints
7027,00-0035646,Sione Takitaki,LB,Browns,463,17,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,34,3,198,10,233,4
6485,00-0034858,Terrell Edmunds,S,Steelers,840,23,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,30,2,477,7,339,14
7797,00-0036389,Jalen Hurts,QB,Eagles,639,129,494,106,145,23,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
4486,00-0033869,Mitchell Trubisky,QB,Steelers,205,28,190,27,15,1,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
8869,00-0037666,Jalen Tolbert,WR,Cowboys,49,0,0,NULL,0,NULL,40,0,8,0,1,0,0,NULL,0,NULL,0,NULL
7755,00-0035754,Jonathan Kongbo,LB,Broncos,53,1,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,25,0,5,1,23,0
8928,00-0038102,Kenny Pickett,QB,Steelers,463,37,413,35,50,2,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
4910,00-0033936,C.J. Beathard,QB,Jaguars,12,0,12,0,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
6407,00-0034687,Korey Cunningham,T,Giants,8,1,0,NULL,0,NULL,0,NULL,7,1,1,0,0,NULL,0,NULL,0,NULL
7615,00-0036241,Bryce Hall,CB,Jets,15,0,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,0,10,0,4,0
9504,00-0037051,Elijah Garcia,DT,Broncos,18,0,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,14,0,0,NULL,4,0
7959,00-0036152,Lamar Jackson,CB,Broncos,38,1,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,0,30,1,7,0
9240,00-0038039,Jack Jones,CB,Patriots,415,27,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,2,0,247,19,167,9
6908,00-0034994,Olisaemeka Udoh,T,Vikings,131,4,0,NULL,0,NULL,0,NULL,55,2,76,3,0,NULL,0,NULL,0,NULL
7888,00-0036422,Adam Trautman,TE,Saints,478,11,0,NULL,0,NULL,129,2,285,9,65,0,0,NULL,0,NULL,0,NULL
4707,00-0033347,Josh Tupou,DT,Bengals,258,3,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,129,1,4,0,128,2
6938,00-0035639,Parris Campbell,WR,Colts,610,10,0,NULL,6,-1,567,9,18,1,29,1,0,NULL,0,NULL,0,NULL
7149,00-0035262,Drue Tranquill,LB,Chargers,925,29,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,84,9,453,8,391,12
846,00-0031554,Eric Kendricks,LB,Vikings,1048,26,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,86,4,575,5,398,18
2256,00-0031549,Nelson Agholor,WR,Patriots,301,2,0,NULL,0,NULL,250,-1,18,0,35,3,0,NULL,0,NULL,0,NULL
2871,00-0032151,Jon Feliciano,C,Giants,917,28,0,NULL,0,NULL,0,NULL,393,10,524,18,0,NULL,0,NULL,0,NULL
6581,00-0034468,Chandon Sullivan,CB,Vikings,905,35,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,31,4,583,22,298,9
8562,00-0036990,Divine Deablo,LB,Raiders,436,3,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,33,2,236,-4,170,5
8407,00-0036968,Brady Christensen,G,Panthers,905,26,0,NULL,0,NULL,0,NULL,415,10,490,16,0,NULL,0,NULL,0,NULL
4984,00-0033281,Marlon Humphrey,CB,Ravens,1000,36,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,16,5,620,18,369,12
7063,00-0035346,Nik Needham,CB,Dolphins,277,6,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,8,0,170,4,101,2
5220,00-0034827,DJ Moore,WR,Panthers,552,32,0,NULL,8,1,424,26,73,3,55,1,0,NULL,0,NULL,0,NULL
6826,00-0035330,Anthony Pittman,LB,Lions,49,2,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,20,0,11,1,18,1
4799,00-0033280,Christian McCaffrey,RB,Panthers,243,11,0,NULL,84,3,134,7,1,0,26,1,0,NULL,0,NULL,0,NULL
6797,00-0035643,Jeffery Simmons,DT,Titans,779,28,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,546,18,6,1,228,8
3214,00-0030946,Kerry Hyder Jr.,DT,49ers,340,10,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,218,8,0,NULL,122,2
7989,00-0036087,Myles Bryant,S,Patriots,659,18,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,15,0,468,11,178,7
924,00-0027973,Andy Dalton,QB,Saints,423,83,403,87,18,-5,2,0,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
7078,00-0035272,Andrew Van Ginkel,LB,Dolphins,300,20,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,88,5,93,10,120,5
1958,00-0030431,Robert Woods,WR,Titans,516,18,0,NULL,0,NULL,415,14,72,3,33,1,0,NULL,0,NULL,0,NULL
9517,00-0037537,Lewis Kidd,G,Saints,76,1,0,NULL,0,NULL,0,NULL,34,0,42,1,0,NULL,0,NULL,0,NULL
7913,00-0036182,Nick Westbrook-Ikhine,WR,Titans,455,6,0,NULL,0,NULL,373,2,57,2,28,3,0,NULL,2,-1,0,NULL
6936,00-0035662,Marquise Brown,WR,Cardinals,495,12,0,NULL,1,0,436,10,27,1,40,1,0,NULL,0,NULL,0,NULL
9037,00-0037308,Lecitus Smith,G,Cardinals,202,3,0,NULL,0,NULL,0,NULL,62,1,140,2,0,NULL,0,NULL,0,NULL
8440,00-0036884,Marco Wilson,CB,Cardinals,739,35,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,10,1,487,26,242,8
3901,00-0032521,Mike Hilton,CB,Bengals,674,37,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,50,5,421,18,210,13
9210,00-0037839,Decobie Durant,CB,Rams,269,20,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,9,1,170,18,93,2
4191,00-0033047,Anthony Brown,CB,Cowboys,689,15,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,6,0,407,9,280,6
9181,00-0038111,Kyler Gordon,CB,Bears,805,29,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,26,1,399,9,382,19
9019,00-0037835,Luke Goedeke,G,Buccaneers,490,10,0,NULL,0,NULL,0,NULL,162,3,328,8,0,NULL,0,NULL,0,NULL
7060,00-0035216,Diontae Johnson,WR,Steelers,634,13,0,NULL,8,0,581,11,37,2,9,0,0,NULL,0,NULL,0,NULL
6338,00-0034801,Josh Woods,LB,Lions,7,1,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,3,1,4,0,0,NULL
121,00-0031325,Sammy Watkins,WR,Packers,163,2,0,NULL,0,NULL,127,0,16,1,22,0,0,NULL,0,NULL,0,NULL
9076,00-0038123,Dane Belton,S,Giants,363,6,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,32,2,219,4,114,0
6453,00-0034752,Orlando Brown Jr,T,Chiefs,1064,22,0,NULL,0,NULL,0,NULL,350,13,714,8,0,NULL,0,NULL,0,NULL
4036,00-0032463,Kyle Peko,DT,Raiders,142,2,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,73,1,2,0,68,1
6482,00-0034204,Olasunkanmi Adeniyi,LB,Titans,66,1,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,37,0,6,0,23,1
4804,00-0029685,Greg Van Roten,G,Bills,326,13,0,NULL,0,NULL,0,NULL,119,5,207,7,0,NULL,0,NULL,0,NULL
8376,00-0036658,Isaiah McDuffie,LB,Packers,162,3,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,14,0,77,1,71,1
4627,00-0033910,Dan Feeney,G,Jets,105,0,0,NULL,0,NULL,0,NULL,42,0,63,1,0,NULL,0,NULL,0,NULL
8526,00-0036625,Benjamin St-Juste,CB,Commanders,618,33,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,8,2,385,22,227,8
6429,00-0034397,Tim Settle,DT,Bills,353,7,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,212,3,0,NULL,141,4
8373,00-0036642,T.J. Slaton,DT,Packers,309,7,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,124,3,2,0,183,4
6410,00-0034487,Trent Sherfield,WR,Dolphins,451,9,0,NULL,0,NULL,370,7,52,2,37,1,0,NULL,0,NULL,0,NULL
5059,00-0033926,Shaquill Griffin,CB,Jaguars,306,3,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,0,191,-1,115,4
4835,00-0033387,Jacob Hollister,TE,Vikings,1,0,0,NULL,0,NULL,0,NULL,1,0,0,NULL,0,NULL,0,NULL,0,NULL
7679,00-0036280,Malik Harrison,LB,Ravens,232,10,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,25,1,96,3,112,6
7700,00-0036407,Jerry Jeudy,WR,Broncos,456,23,0,NULL,5,2,413,20,29,1,12,0,0,NULL,0,NULL,0,NULL
4787,00-0033875,Haason Reddick,LB,Eagles,784,40,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,430,38,63,-1,296,2
558,00-0032127,Markus Golden,LB,Cardinals,748,20,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,450,8,44,-2,255,13
8959,00-0037086,Grant Calcaterra,TE,Eagles,182,6,0,NULL,0,NULL,69,2,95,4,20,0,0,NULL,0,NULL,0,NULL
8540,00-0036874,Pat Surtain II,CB,Broncos,1030,60,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,13,1,632,42,390,17
8557,00-0036650,Larry Rountree III,RB,Chargers,18,-1,0,NULL,13,-2,4,1,0,NULL,1,0,0,NULL,0,NULL,0,NULL
8786,00-0036596,Robert Jones,G,Dolphins,417,13,0,NULL,0,NULL,0,NULL,153,6,264,8,0,NULL,0,NULL,0,NULL
8998,00-0037613,Kenyon Green,G,Texans,780,4,0,NULL,0,NULL,0,NULL,287,5,493,-1,0,NULL,0,NULL,0,NULL
4574,00-0033909,Pat Elflein,C,Panthers,317,8,0,NULL,0,NULL,0,NULL,113,4,204,4,0,NULL,0,NULL,0,NULL
2901,00-0031585,MyCole Pruitt,TE,Falcons,283,9,0,NULL,0,NULL,65,3,163,5,55,1,0,NULL,0,NULL,0,NULL
2658,00-0032132,Max Garcia,G,Cardinals,510,17,0,NULL,0,NULL,0,NULL,176,5,334,12,0,NULL,0,NULL,0,NULL
6356,00-0034279,Equanimeous St. Brown,WR,Bears,354,13,0,NULL,6,1,240,7,71,5,47,1,0,NULL,0,NULL,0,NULL
255,00-0031545,Kevin White,WR,Saints,87,2,0,NULL,0,NULL,70,1,13,1,5,0,0,NULL,0,NULL,0,NULL
7940,00-0034769,DeMarquis Gates,LB,Bears,2,0,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,2,0
6872,00-0035593,Juwann Winfree,WR,Packers,26,0,0,NULL,0,NULL,25,0,1,0,1,0,0,NULL,0,NULL,0,NULL
7956,00-0036149,Javelin Guidry,CB,Raiders,17,1,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,17,1,0,NULL
9319,00-0037420,Kwamie Lassiter II,WR,Bengals,4,0,0,NULL,0,NULL,3,0,0,NULL,1,0,0,NULL,0,NULL,0,NULL
6449,00-0034352,Connor Williams,C,Dolphins,990,47,0,NULL,0,NULL,0,NULL,355,16,635,31,0,NULL,0,NULL,0,NULL
2677,00-0032109,Kwon Alexander,LB,Jets,525,12,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,23,2,240,-4,266,14
2936,00-0031622,Bobby Hart,T,Bills,114,3,0,NULL,0,NULL,0,NULL,81,2,33,1,0,NULL,0,NULL,0,NULL
4535,00-0033357,Taysom Hill,TE,Saints,255,13,21,11,96,3,115,-2,16,1,7,0,0,NULL,0,NULL,0,NULL
8441,00-0036896,Victor Dimukeje,LB,Cardinals,229,3,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,95,1,18,1,117,1
8381,00-0037006,Wyatt Davis,G,Saints,2,0,0,NULL,0,NULL,0,NULL,1,0,1,0,0,NULL,0,NULL,0,NULL
3690,00-0032379,Eli Apple,CB,Bengals,869,22,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,14,0,550,11,310,11
6379,00-0034675,Jessie Bates,S,Bengals,973,51,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,29,1,579,36,371,14
8170,00-0035850,Kameron Cline,DT,Colts,12,0,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,6,0,0,NULL,6,0
6360,00-0034286,Richie James Jr.,WR,Giants,355,15,0,NULL,2,1,312,14,26,0,20,0,0,NULL,0,NULL,0,NULL
9265,00-0037277,Teagan Quitoriano,TE,Texans,296,1,0,NULL,0,NULL,97,-1,143,2,56,0,0,NULL,0,NULL,0,NULL
8520,00-0036899,Aaron Robinson,CB,Giants,67,4,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,38,3,29,1
9089,00-0037262,Thomas Booker IV,DT,Texans,191,1,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,77,0,2,0,112,1
8185,00-0035903,Joe Gaziano,DT,Chargers,107,3,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,52,0,0,NULL,55,3
6964,00-0034969,Ben Banogu,DE,Colts,110,0,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,57,0,2,0,52,0
7216,00-0035026,Kevin Givens,DT,49ers,337,10,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,196,4,2,0,140,7
8371,00-0036991,Amari Rodgers,WR,Packers,67,-1,0,NULL,0,NULL,44,-2,14,0,10,0,0,NULL,0,NULL,0,NULL
8922,00-0037817,Zach Tom,G,Packers,449,12,0,NULL,0,NULL,0,NULL,183,8,266,4,0,NULL,0,NULL,0,NULL
6983,00-0035250,Devin Singletary,RB,Bills,605,11,0,NULL,177,4,358,5,4,0,66,2,0,NULL,0,NULL,0,NULL
7240,00-0035125,Alec Ingold,FB,Dolphins,312,9,0,NULL,6,0,124,1,124,5,64,3,0,NULL,0,NULL,0,NULL
8580,00-0036603,Alaric Jackson,T,Rams,406,11,0,NULL,0,NULL,0,NULL,141,3,265,8,0,NULL,0,NULL,0,NULL
9199,00-0037263,Tyler Allgeier,RB,Falcons,429,40,0,NULL,210,38,155,0,1,0,63,2,0,NULL,0,NULL,0,NULL
8415,00-0036576,Phil Hoskins,DT,Panthers,40,0,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,12,0,0,NULL,28,0
8581,00-0036604,Jordan Meredith,G,Raiders,39,2,0,NULL,0,NULL,0,NULL,10,0,29,2,0,NULL,0,NULL,0,NULL
8465,00-0037008,Ambry Thomas,CB,49ers,39,3,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,34,3,5,0
7703,00-0036423,Albert Okwuegbunam,TE,Broncos,161,1,0,NULL,0,NULL,120,1,26,0,15,0,0,NULL,0,NULL,0,NULL
8602,00-0036462,Innis Gaines,S,Packers,44,3,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,33,2,11,1
6331,00-0034426,Javon Wims,WR,Cardinals,4,0,0,NULL,0,NULL,4,0,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
6340,00-0034371,Da'Shawn Hand,DT,Titans,2,0,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,0,0,NULL,1,0
9202,00-0037267,Jerome Ford,RB,Browns,8,-1,0,NULL,8,-1,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
8463,00-0036984,Trey Sermon,RB,Eagles,6,1,0,NULL,2,1,3,0,0,NULL,1,0,0,NULL,0,NULL,0,NULL
8126,00-0035860,Tony Jones Jr.,RB,Seahawks,26,-2,0,NULL,8,-2,15,-1,0,NULL,3,0,0,NULL,0,NULL,0,NULL
8898,00-0037524,Tay Martin,WR,49ers,1,0,0,NULL,0,NULL,1,0,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
7166,00-0035147,Rashad Fenton,CB,Falcons,64,-1,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,0,18,-3,45,2
6886,00-0035098,Micah Abernathy,S,Packers,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
9509,00-0037175,Anthony Brown,QB,Ravens,52,-8,52,-8,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
3638,00-0032942,Kevon Seymour,CB,Ravens,5,1,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,1,4,0
434,00-0031041,Kyle Fuller,CB,Ravens,75,-1,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1,0,57,-1,17,0
8867,00-0037257,David Bell,WR,Browns,367,0,0,NULL,0,NULL,279,-3,79,3,12,0,0,NULL,0,NULL,0,NULL
3398,00-0033110,Tyler Higbee,TE,Rams,825,33,0,NULL,0,NULL,390,14,310,12,127,7,0,NULL,0,NULL,0,NULL
8395,00-0036949,Adetokunbo Ogundeji,LB,Falcons,517,6,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,199,0,49,0,271,6
5227,00-0034673,Tremaine Edmunds,LB,Bills,720,26,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,54,2,404,12,263,11
7095,00-0034957,Calvin Anderson,T,Broncos,418,6,0,NULL,0,NULL,0,NULL,147,4,271,2,0,NULL,0,NULL,0,NULL
6276,00-0034798,Durham Smythe,TE,Dolphins,508,14,0,NULL,2,-1,129,1,267,10,113,5,0,NULL,0,NULL,0,NULL
4702,00-0033576,Eric Saubert,TE,Broncos,347,6,0,NULL,0,NULL,163,1,153,4,33,1,0,NULL,0,NULL,0,NULL
4307,00-0033118,Kenyan Drake,RB,Ravens,296,-8,0,NULL,109,-8,153,0,0,NULL,35,0,0,NULL,0,NULL,0,NULL
4035,00-0032958,Will Parks,S,Jets,201,9,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,5,0,105,2,92,7
6367,00-0034384,D.J. Reed,CB,Jets,1074,50,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,12,0,623,35,445,15
748,00-0029193,Bruce Irvin,LB,Seahawks,391,13,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,171,7,28,1,193,5
4323,00-0033050,Xavien Howard,CB,Dolphins,911,9,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,5,0,611,-5,298,14
9027,00-0037341,Roderick Perry II,DT,Browns,37,0,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,15,0,0,NULL,22,0
4578,00-0033940,Jaleel Johnson,DT,Falcons,92,1,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,43,0,0,NULL,49,1
6624,00-0034115,Jeff Wilson,RB,Dolphins,231,-2,0,NULL,84,0,136,-2,0,NULL,11,0,0,NULL,0,NULL,0,NULL
9250,00-0037275,DaRon Bland,CB,Cowboys,571,24,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,19,2,333,18,224,4
8499,00-0036935,Kelvin Joseph,CB,Cowboys,155,2,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,2,0,95,0,60,2
7826,00-0036077,JuJu Hughes,S,Lions,145,6,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,10,0,80,3,55,2
6436,00-0034764,Michael Gallup,WR,Cowboys,471,3,0,NULL,0,NULL,398,1,54,1,21,0,0,NULL,0,NULL,0,NULL
8246,00-0036036,Terence Steele,T,Cowboys,766,15,0,NULL,0,NULL,0,NULL,356,9,410,6,0,NULL,0,NULL,0,NULL
7908,00-0036011,Bobby Price,CB,Lions,35,-1,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,18,-2,17,0
7984,00-0035891,Cody White,WR,Steelers,1,0,0,NULL,0,NULL,1,0,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
7595,00-0036262,DaVon Hamilton,DT,Jaguars,577,16,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,300,3,6,2,273,12
907,00-0030070,John Jenkins,DT,Dolphins,242,1,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,128,1,2,0,113,0
173,00-0031298,Jimmie Ward,S,49ers,481,28,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,18,1,341,19,123,8
8921,00-0037829,Spencer Burford,G,49ers,700,16,0,NULL,0,NULL,0,NULL,333,9,367,7,0,NULL,0,NULL,0,NULL
6571,00-0034614,Godwin Igwebuike,RB,Seahawks,4,-3,0,NULL,3,-1,1,-1,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
8333,00-0036652,Racey McMath,WR,Titans,48,0,0,NULL,1,0,46,1,1,0,0,NULL,0,NULL,0,NULL,0,NULL
8552,00-0036988,Josh Palmer,WR,Chargers,641,8,0,NULL,1,0,551,6,47,1,49,1,0,NULL,0,NULL,0,NULL
7126,00-0035718,Quinnen Williams,DT,Jets,653,32,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,396,22,4,0,253,9
4757,00-0033792,Rudy Ford,S,Packers,421,21,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,2,0,250,17,169,4
26,00-0032146,Bud Dupree,LB,Titans,423,11,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,278,9,23,-2,122,4
1212,00-0029239,Brandon Bolden,RB,Raiders,76,-2,0,NULL,16,-4,54,2,0,NULL,6,0,0,NULL,0,NULL,0,NULL
8328,00-0036619,Dillon Radunz,T,Titans,266,12,0,NULL,0,NULL,0,NULL,128,6,138,5,0,NULL,0,NULL,0,NULL
9549,00-0037602,Sam Okuayinonu,DT,Titans,98,3,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,59,1,3,0,36,2
8873,00-0037132,Britain Covey,WR,Eagles,6,0,0,NULL,0,NULL,4,0,2,0,0,NULL,0,NULL,0,NULL,0,NULL
6775,00-0035179,Jalen Dalton,DT,Falcons,136,1,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,71,0,1,0,65,2
8114,00-0035823,Ben Ellefson,TE,Vikings,39,0,0,NULL,0,NULL,6,0,22,0,11,0,0,NULL,0,NULL,0,NULL
8357,00-0036624,Alim McNeill,DT,Lions,728,3,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,386,1,3,0,340,3
6815,00-0035544,Tom Kennedy,WR,Lions,135,5,0,NULL,0,NULL,110,4,15,1,10,0,0,NULL,0,NULL,0,NULL
7736,00-0036234,Logan Stenberg,G,Lions,220,4,0,NULL,0,NULL,0,NULL,92,3,128,1,0,NULL,0,NULL,0,NULL
8501,00-0036982,Chauncey Golston,DE,Cowboys,219,6,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,122,0,2,0,97,7
9127,00-0037665,Sam Williams,DE,Cowboys,260,17,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,156,11,7,0,100,6
7863,00-0036392,Matt Peart,T,Giants,110,-2,0,NULL,0,NULL,0,NULL,39,1,71,-3,0,NULL,0,NULL,0,NULL
9004,00-0037073,Jordan Davis,DT,Eagles,213,3,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,106,1,1,0,107,2
5039,00-0033481,Marcus Kemp,WR,Chiefs,2,0,0,NULL,0,NULL,2,0,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
8383,00-0036842,Kene Nwangwu,RB,Vikings,17,-3,0,NULL,9,-2,7,0,0,NULL,1,-1,0,NULL,0,NULL,0,NULL
7765,00-0035916,T.J. Carter,DE,Rams,4,0,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,2,0,0,NULL,2,0
7947,00-0036188,Antonio Williams,RB,Giants,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
5021,00-0033544,Quincy Wilson,CB,Steelers,11,0,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,8,0,3,0
8506,00-0036649,Quinton Bohanna,DT,Cowboys,252,4,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,109,-1,0,NULL,143,4
7666,00-0036326,Chase Claypool,WR,Steelers,342,12,1,1,8,0,284,9,39,1,11,0,0,NULL,0,NULL,0,NULL
6488,00-0034768,Chukwuma Okorafor,T,Steelers,1096,21,0,NULL,0,NULL,0,NULL,460,14,636,6,0,NULL,0,NULL,0,NULL
9139,00-0037082,Dominique Robinson,DE,Bears,512,5,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,266,2,11,-1,236,4
